weather_uuid,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm,wind_speed_100m,city
90bcd74c-c01e-5848-9c52-f1267f8e7870,2023-01-02 09:00:00,8.5195,84.8724,6.1194997,6.47626,0.0,0.0,0.0,0.0,1,1021.2,1014.292,21.0,0.0,15.0,7.0,0.039619144,0.16844767,7.342588,6.1695,0.472,7.6194997,0.48,12.074766,Washington D.C.
4a05ae87-63a0-5b05-8701-f8ad609d99cc,2023-01-02 10:00:00,11.8205,71.68356,6.8705,9.506645,0.0,0.0,0.0,0.0,3,1016.5,1005.3621,100.0,1.0,0.0,100.0,0.14416684,0.39306462,10.390226,10.6205,0.309,11.0705,0.258,13.708391,Los Angeles
e17b9b01-05b3-22f1-bc0d-db0d072e55e6,2023-01-02 10:00:00,11.1195,77.16463,7.2695,9.664827,0.0,0.0,0.0,0.0,1,1021.4,1014.5536,21.0,0.0,4.0,18.0,0.10922431,0.30262792,5.1544156,7.6194997,0.472,7.5695,0.479,16.75064,Washington D.C.
7d1f3b5c-fff8-0b3b-adc1-383d20783d88,2023-01-02 11:00:00,12.5705,71.09371,7.4705,10.272967,0.0,0.0,0.0,0.0,3,1016.3,1005.19324,100.0,0.0,0.0,100.0,0.18406858,0.42151606,11.269782,12.0205,0.307,11.1705,0.258,14.336861,Los Angeles
d1b8f93f-a82f-cfcb-7409-87b618aebbae,2023-01-02 11:00:00,13.419499,70.534454,8.169499,12.1461525,0.0,0.0,0.0,0.0,1,1021.6,1014.807,22.0,0.0,20.0,3.0,0.17493711,0.45415342,5.4477882,9.169499,0.471,7.6194997,0.479,9.6932955,Washington D.C.
980bcb4c-6c42-6e40-2f73-07300dc749b0,2023-01-02 12:00:00,13.1705,66.059555,6.9705,11.026496,0.0,0.0,0.0,0.0,3,1015.5,1004.4253,100.0,0.0,98.0,100.0,0.1973025,0.51472676,9.387651,13.1205,0.304,11.3205,0.258,11.4862,Los Angeles
5bb6346c-b19d-9ad6-4b1a-11d700876212,2023-01-02 12:00:00,15.5195,63.92397,8.7195,13.861488,0.0,0.0,0.0,0.0,1,1020.6,1013.8627,45.0,0.0,7.0,40.0,0.22718011,0.6367402,9.0645685,10.6195,0.471,7.7194996,0.479,13.084402,Washington D.C.
18923f65-65d3-e198-ff92-64ffbf0e5eee,2023-01-02 13:00:00,13.5205,64.349,6.9205,11.804785,0.0,0.0,0.0,0.0,3,1015.4,1004.33966,99.0,0.0,78.0,97.0,0.16926992,0.5531329,6.3690495,13.6705,0.302,11.4705,0.258,7.8954163,Los Angeles
4ef4b6db-8d4a-7e62-b851-0828493d4ed6,2023-01-02 13:00:00,16.8195,58.83955,8.7195,14.788403,0.0,0.0,0.0,0.0,1,1020.2,1013.49554,47.0,4.0,33.0,20.0,0.2481569,0.7891892,11.620809,11.7695,0.47,7.9195,0.478,17.208603,Washington D.C.
ce400e5a-3ecc-b44d-70f5-fafefb2114c0,2023-01-02 14:00:00,13.7205,63.73561,6.9705,11.9802685,0.0,0.0,0.0,0.0,3,1014.8,1003.7541,100.0,4.0,100.0,100.0,0.1329018,0.5700085,6.6185193,13.7705,0.3,11.6705,0.258,8.534353,Los Angeles
